% Model,Tutorial_final_sweep_part3_solved.mph
% Version,COMSOL 6.0.0.405
% Date,"Sep 12 2022, 15:04"
% Table,"Table 1 - Pol, SM_only"
% L_junc (nH),Eigenfrequency (GHz),zz (1),yz (1),xz (1)
9.035,6.453335507928735+3.055913566640098E-5i,0.1927919499031226,0.043867536183350465,0.7503692223124871
9.035,6.453511985154056+0.001120617767249894i,0.02004076137166531,0.9519028674463579,0.014540944858613665
9.035,6.453598037255563+3.7238866437450275E-5i,0.2645133476812174,0.07355570035000111,0.6472099632297345
9.035,6.453767850216337+7.87280223942022E-5i,0.2426364064003862,0.1357069689607902,0.5972621660603207
9.035,6.453850296887272+0.0012977385799235565i,7.654967157118409E-4,0.9944274805172582,4.300521144764059E-4
9.035,6.453855677868423+3.158448467486416E-6i,0.9069831364747295,0.009935059037270743,0.07999349004722177
9.035,6.454032400047621+6.626359753987102E-5i,0.27262965012809626,0.4490541099179106,0.21941654478253175
9.035,6.45444011694215+1.8711990844911078E-5i,0.31409360498375977,0.34020055649205566,0.28925012129222755
9.035,6.454511691872591+0.005550737350487102i,0.036583855297576066,3.408205233626985E-4,0.9613791601221134
9.035,6.454626224063885+1.0532597613279166E-4i,0.06928721685244138,0.01663355197285117,0.9030603093510905
9.035,6.45463236700728+0.0014514788386609148i,0.009309122747040138,0.9712338851136993,0.008086113968917591
9.035,6.454727394936248+0.006370574366468604i,0.8266189750384617,0.005235297464418245,0.16661423066401
9.035,6.454909759425474+1.0282279702817176E-4i,0.004532719601767725,0.005017386058181217,0.9853983030586068
9.035,6.455121996153663+0.0057017151681892225i,0.774200419804137,0.004960450069021047,0.21911540478843416
9.035,6.455245963363378+2.5381602682812334E-5i,0.28528658471334795,0.019542282308789204,0.6877924648488952
9.035,6.455401780155279+1.9487631867512575E-5i,0.6425505751081272,0.006586490533886443,0.34603866347827966
9.035,6.4555707583241215+3.3151799851483333E-5i,0.23474427747264628,0.01650390739957523,0.7411139495284167
9.035,6.4555797657046625+0.008433282560210491i,0.030404029218175893,4.467389912972114E-4,0.9659140998880285
9.035,6.4555953495047875+0.005866749718892219i,0.8196998101030861,0.0035488194719204024,0.17505952598361604
9.035,6.455620645464299+0.0018684927721363703i,0.0018866038380933989,0.995966261554211,2.2493630529515191E-4
9.035,6.4556749004054765+2.23169559316306E-5i,0.3507242315223647,0.009196119218233089,0.6349504885229499
9.035,6.455837848196722+0.0013015282584362443i,0.001832813321040135,0.9947956184435823,8.658665853897587E-4
9.035,6.455921680647876+6.663398811267828E-6i,0.5005535319167123,0.05047935638364062,0.44551864279574394
9.035,6.455939899170232+5.055343353105346E-5i,0.10625744272748056,0.03576215898056743,0.8482530412235707
9.035,6.456005196876622+0.0018409437602288762i,0.002052468051965791,0.9924975219770595,9.182395623462749E-4
9.035,6.456038116990342+1.7971860394722748E-7i,0.042068302657856826,0.9409013103205371,0.015971488943591045
9.035,6.456059871543739+0.006307765161126733i,0.06621502776373936,6.712222122826966E-4,0.9307715049411938
9.035,6.456248434127077+0.0014918551499023883i,0.009499851138701448,0.9671871300716363,0.01111665332373868
9.035,6.456347357650243+6.572480267772404E-7i,0.858836242205062,0.004985823870943214,0.13383346539266186
9.035,6.4564972030874115+3.012913242648774E-5i,0.15137057069617466,0.11137188985252489,0.7182074506675489
9.035,6.456603052075356+2.380661509944985E-5i,0.20260519870573948,0.41122828511914894,0.3546682027769322
9.035,6.456639067588341+0.001702553254988663i,0.0010919853804206528,0.9960378492112224,5.027748835924045E-4
9.035,6.456745532808198+3.9327280717688743E-5i,0.07681549383113731,0.18781486130279326,0.716270409807533
9.035,6.456818105541562+0.005265041464501602i,0.0049624060632016045,2.1133194983750199E-4,0.9922775230615274
9.035,6.456820411641338+2.985433965304318E-4i,0.043048417774115895,0.7324976711126917,0.19944543894771094
9.035,6.456893247144795+3.400108856117451E-6i,0.027316131382076232,0.10174211738558972,0.8611077743022764
9.035,6.457231598508041+1.905422228537051E-5i,0.025000600671862157,0.06223691670595136,0.9000351500546998
9.035,6.457423057951972+0.002027619416267071i,0.0017432210449593924,0.9937304034385219,5.204499269801232E-4
9.035,6.4575895780905395+5.1555523983507506E-5i,0.09878433885252343,0.07509985558394063,0.8130059144530939
9.035,6.457654049093134+0.0016488057498367644i,9.863989866748949E-4,0.996111031323266,2.7062330868826375E-4
9.035,6.457779148955183+2.2029832055355533E-7i,0.0433513156114883,0.9441883645100759,0.011039643225403772
9.035,6.457948095548451+1.8360550444353481E-6i,0.32753014111306056,0.035058512366385707,0.6337757450751996
9.035,6.458021003845498+4.69106769651573E-6i,0.31230495543609715,0.012297462661079698,0.6722206265357082
9.035,6.45809985247016+1.055617867127139E-5i,0.17665510250132224,0.013880012861474495,0.8044677213790435
9.035,6.458277561387231+5.353805116579641E-6i,0.07957150845871507,0.13922014852660086,0.6923236144650926
9.035,6.458293520821418+2.3727141485635472E-5i,0.1448670499095396,0.025215889599066375,0.8125210203642503
9.035,6.458486777712584+1.5592938879415154E-5i,0.18219814634118733,0.008054998813386782,0.8025459667909881
9.035,6.4585885939924355+5.5929342626036425E-6i,0.4484539799018085,0.12988951134969495,0.39593975300496115
9.035,6.458688259580149+1.4711732347241074E-6i,0.7463505002674748,0.06485977337620469,0.1756550111455945
9.035,6.458692742300538+0.0015552747263361528i,9.938557959816012E-4,0.9960529576769106,2.331981425119207E-4
9.035,6.459196567971376+1.5995979704121474E-5i,0.3853525915382386,0.2636549437841058,0.28736650914429895
9.035,6.459442126015037+4.703493050371209E-6i,0.22650999498949195,0.1460449647413853,0.5132081922608291
9.035,6.459522551863255+2.2354013208577546E-6i,0.139004221229406,0.02819276680006229,0.8210878734761854
9.035,6.459635690735362+0.0017937070259929214i,0.0023051776149442833,0.9924798980692311,0.0010160764451722327
9.035,6.459659877389688-7.602824321679609E-6i,0.6766240023583234,0.02899626339119666,0.2833443631058732
9.035,6.459730856915844+0.0015248823229336397i,9.908601527791254E-4,0.9955993398211582,2.919158572219914E-4
9.035,6.459757129577056+1.12320321236337E-5i,0.14818357389683032,0.044320054213186466,0.7840343608917497
9.035,6.459867591484788+6.231569437407021E-6i,0.07852396868219608,0.8716542708248617,0.04767253303227679
9.035,6.459903936198659+1.0928097040220302E-5i,0.1057814794488462,0.08105153330438432,0.8061776118179288
9.035,6.459928238422663-1.0816505703410552E-5i,0.6305906548608566,0.2031768837526399,0.16224685199534256
9.035,6.460041700196485+3.545746358211248E-6i,0.11549327727531286,0.024137133235706026,0.8480665634119845
9.035,6.460253721640866+1.3054377000382048E-6i,0.10644990651433453,0.07511594042925396,0.7502735313128955
9.035,6.460403225702801+8.965674797210791E-6i,0.04971619512098923,0.028724332706799357,0.9025238666388737
9.035,6.46071156694478+0.001527819574375817i,0.001943402070866461,0.9903114067713766,0.002828524478019396
9.035,6.461218158977579+1.8100731796854624E-7i,0.7235363866520332,0.047686882150096324,0.21956857447878736
9.035,6.461267023757167-3.7353147530683057E-6i,0.34726828856472103,0.34408145365400167,0.26445922711272346
9.037,6.441504741575424+1.2522991240882312E-5i,0.014042204515293616,0.9584933547754545,0.017078031019233414
9.037,6.441548877813946+6.553257116236031E-6i,0.05688126141620649,0.8441470332636072,0.0650072268601865
9.037,6.441727582450514+0.0020402874168074965i,0.009544639893131663,2.6547932302094696E-4,0.9759908744127822
9.037,6.441807692742175+3.016771537705709E-6i,0.2194682244744077,0.4098714632238647,0.3014314711429282
9.037,6.441935157353457+1.2115223667848104E-5i,0.04335286102314567,0.8767566970773711,0.061553338707578384
9.037,6.441937060983416+7.499945312624415E-4i,0.9915476210494679,0.0034810565494381627,0.003984370934988958
9.037,6.442097578699689+3.454032739411734E-6i,0.22897358649223998,0.41742591852516636,0.30112587074112857
9.037,6.442256277056627+6.470267270038187E-7i,0.011044694239626956,0.022534990567312955,0.9570002419314687
9.037,6.442363415323467+2.3635500221913696E-6i,0.09526167903971705,0.7581094084115104,0.11926416641649226
9.037,6.4426267831698425+1.3042820616584815E-5i,0.013120787318436964,0.9585186933022439,0.015214678886569232
9.037,6.442638097677883+5.598022490041782E-6i,0.009034309508957032,0.9662003028311289,0.00856969828528273
9.037,6.442985711637298+7.681699381234055E-4i,0.989680294869191,0.004209686501298432,0.005077875247487651
9.037,6.4430571755263735+0.002183940181787924i,0.009404939954069914,3.532236563834353E-4,0.9764816615090024
9.037,6.443196555599865+8.306801716623739E-4i,0.9864057601662283,0.009051826621762899,0.003568217879717392
9.037,6.44326468531767+2.125664860402999E-5i,0.01314757073602252,0.9660574830309321,0.010523673705506937
9.037,6.443553667770245+6.828496983056782E-8i,0.015115822080475187,0.010332791511801285,0.9698516372175142
9.037,6.443565359706944+1.4657611166798862E-6i,0.28791443954078955,0.3058246150798015,0.28139101222327867
9.037,6.443678148045795+7.714931368492372E-5i,0.002394286779646471,0.9905721329619436,0.0022770167720925663
9.037,6.443774478189496+2.355695122507477E-6i,0.01073354775478754,0.007289637375163362,0.9732765595847762
9.037,6.443855269048799+8.015110101981725E-4i,0.9897343811449588,0.003979932537753388,0.005393717354569795
9.037,6.443981522255885+5.329322882092645E-6i,0.032223256555116646,0.05015352843307535,0.8674954924849708
9.037,6.444118573930238+7.612179079906491E-6i,0.12894903889180992,0.0632028513088982,0.7740587174786312
9.037,6.4442127364439195+1.7736117672274566E-6i,0.3881714918162177,0.13583596469064418,0.42371709243925065
9.037,6.4442421529356935+7.87088137816797E-4i,0.9904894685451958,0.0035686528567871827,0.005036132180574103
9.037,6.444520308280861+2.4451631936739444E-6i,0.006322998400818374,0.9595785311450765,0.014652621080554736
9.037,6.4447474491252725+0.0030108426728685483i,0.9811263121924614,0.012105469785055042,0.005370899550636653
9.037,6.444861380709113+4.712602392919241E-7i,0.9558099089712979,6.093358026291637E-4,0.04206208550119295
9.037,6.445148017605395+3.010056128741512E-5i,0.03829730767834627,0.017304020241883364,0.9323735878026458
9.037,6.4454453468646+0.0010097028584589453i,0.9905319419692036,0.0025905586500584716,0.005904041597644875
9.037,6.445458057968396+9.744457285289431E-4i,0.9890909192685252,0.0026085497132597906,0.007330453686324313
9.037,6.445462149101245+1.9431335556562713E-6i,0.3655566753666868,0.24196152579111266,0.32966474100704163
9.037,6.445546167073164+4.508246518297776E-5i,0.025557322527247395,0.9161939399204593,0.03265888238822759
9.037,6.44557459170621+2.0077690195866417E-4i,0.006017607265983281,0.9818849624639561,0.005030621035907701
9.037,6.446022141282521+7.055064258868325E-6i,0.042755228908874024,0.7025007890093012,0.18156536679424118
9.037,6.446027727451569+0.006885059819674058i,0.014224787229708056,2.233535092883164E-4,0.9833398189793475
9.037,6.446061496632585+1.0437394864772511E-6i,0.04928501062326839,0.1496533337331373,0.784482990598234
9.037,6.44624650792774+4.265141922897981E-6i,0.10974357647482072,0.7465447807017004,0.07582490562972767
9.037,6.446794871005735+1.1980885661583398E-5i,0.014523566758134607,0.006372362879435692,0.971158469526357
9.037,6.44681682567848+0.004796713506367516i,0.010115694484034635,3.5203173971650267E-4,0.987712187355591
9.037,6.446925380793222+3.9586752194868326E-5i,0.045393159740771,0.013297931525724354,0.930730277342877
9.037,6.446981350009509+0.006654993557618059i,0.010926402964049122,1.322296626682234E-4,0.9866433012187681
9.037,6.447133551152121+1.2216616790316702E-5i,0.0020599541930416345,0.99031141930067,5.105357100250474E-4
9.037,6.447291953216686+2.287520523676873E-7i,0.029983489111966303,0.0011550951048075965,0.9676701647777874
9.037,6.447592306031504+4.292380061609832E-7i,0.8816384385127543,5.248242602357294E-4,0.1162475838739102
9.037,6.447958449470687+3.86030472322653E-6i,0.011321356828601862,0.00478867857112988,0.9755779737590559
9.037,6.448182184859486+2.430225122384419E-5i,0.2470002006961047,0.22866455138237612,0.4774199111706177
9.037,6.4482173914837215+4.359137063165848E-4i,0.010533531261467112,0.9638824137227143,0.01568735847185893
9.037,6.448353627400703+0.006723032159239487i,0.05789438636088156,5.628456275205336E-4,0.9385240857705031
9.037,6.448564542825668+2.40144982270409E-6i,0.10902723606706871,0.001446005183488315,0.8873960210990802
9.037,6.448687154594681+1.1713902724845238E-5i,0.0019586259743231953,0.9882280134232138,0.001695921975221561
9.037,6.448770910921121+1.6818662134990234E-6i,0.11971099777272005,0.0863441913218314,0.7294998917341239
9.037,6.4488115670682555+0.004378711530131565i,0.400608658434633,0.0039854059895157385,0.5931684492749728
9.037,6.448970847802236+0.0029873711324584183i,0.013562820855144316,4.775856331455227E-4,0.9833601588345278
9.037,6.449230257763224+0.003978166756614875i,0.7425227350807546,0.007170092137397109,0.24850657421185493
9.037,6.44931533929024+3.5170373428150944E-6i,0.0736817644892192,0.6735404899217194,0.20048699935213837
9.037,6.449626799259458+3.7948353067253114E-6i,0.06459551560601852,0.055649662090763836,0.8132892849195679
9.037,6.449708755139022+0.0039021218616081634i,0.32033211665064926,0.0035849830908043995,0.6735151207983643
9.037,6.449712990617962+2.6689921428283545E-6i,0.3540455501423103,0.004740520720745764,0.6369289536052425
9.037,6.449758112487473+3.797460516707147E-5i,0.06784682331612128,0.09207387959522292,0.7929403984763821
9.037,6.449849531356139+1.2997976132289242E-5i,0.31051046321742093,0.2182240810204463,0.41736620378039857
9.037,6.4499619831742825+4.072463054793025E-5i,0.3947514886936324,0.030218695007309244,0.5595475523930337
9.037,6.450125275639046+9.452627761004703E-5i,0.3270677682511047,0.01802353476313404,0.6421668070720974
9.037,6.4501741135302355+3.2378854642013064E-6i,0.5819133897562965,0.03332914170273595,0.3726101375676841
9.037,6.450228208699401+1.0330063108351005E-5i,0.40848441425978804,0.09924700839124644,0.4552596409669139
9.037,6.450431559597318+6.832058064514433E-4i,0.00946995414687852,0.9658485215986387,0.012279459403106758
9.037,6.4505454248074425+1.2009733335283853E-5i,0.8616804426084633,0.002143962363850593,0.1337418770413218
9.037,6.4508599341123585+0.0013096102017728043i,0.03177760302520942,8.662959858076034E-4,0.961566980683269
9.037,6.4510329973308025+1.9677947317254673E-4i,0.17294616444782981,0.012804306619455632,0.8041109989595864
9.037,6.451119897512773+0.003880333587501958i,0.07855606688927343,5.11996333143921E-4,0.9168221427278667
9.037,6.451295332607694+0.0015246959627338845i,0.01576522875975629,0.0019228471206424497,0.97622367900199
9.037,6.451518493457439+0.002817843453465612i,0.031585051347068537,8.677641308188797E-4,0.9619778665812339
9.037,6.451703600990893+1.1803653501487783E-4i,0.08914256877233452,0.016730289360985313,0.8850238346602135
9.037,6.451854131094734+0.0012139750994891868i,6.432594123056292E-4,0.9920015641036818,0.0034263598080344665
9.037,6.451885583117704+2.628788407918476E-5i,0.22668147256381857,0.3329952259580917,0.37659749122617936
9.037,6.4520452422768555+2.5884314057492828E-6i,0.041470862006630464,0.9023319665598286,0.02858805555543133
9.037,6.452194535176693+1.3662701376610028E-5i,0.07704903367234092,0.007480676989071131,0.9111537792539113
9.037,6.452222726276611+2.7898345915596456E-4i,0.06382058909062302,0.8172258257069277,0.08358283646236937
9.037,6.452364927101895+0.005214156658265614i,0.7085817316533225,0.004774957696309963,0.28473513767640346
9.037,6.452442181314821+2.051933263862586E-5i,0.11331776893701412,0.21085849889268454,0.5821158972639643
9.037,6.452465415413782+8.369691452540573E-5i,0.0642853149331162,0.14281183633041397,0.7713681565450478
9.037,6.452637367857349+6.77013565517699E-5i,0.08147796800897522,0.26223287971999387,0.6109484550383147
9.037,6.4527172654183005+2.40974263598993E-5i,0.06938572411775644,0.24016448709169613,0.6382018018595584
9.037,6.4529211207846116+8.971442546509078E-6i,0.6709058450303017,0.005282907567263609,0.3199410259861737
9.037,6.452973607661976+1.5897417046044092E-5i,0.1143502787859921,0.03138095234294536,0.8377671372957953
9.037,6.4533351427485135+3.065864510890865E-5i,0.19295195202487164,0.04392002856288625,0.75016226315224
9.037,6.453512653216279+0.0011209602677888782i,0.020088116817926483,0.9517892803131924,0.014597918927533433
9.037,6.453597958140321+3.556981946297716E-5i,0.2655154994327218,0.0745557119235916,0.6451352010442846
9.037,6.453766098196338+7.94278041569597E-5i,0.24002920474248637,0.13276840126057443,0.6031801629944278
9.037,6.453850261501635+0.001297708826167282i,7.662638898355662E-4,0.9944219678193199,4.347474844171648E-4
9.037,6.4538555570204075+2.7978864749677464E-6i,0.907610982907572,0.009925110087407686,0.07938162961348838
9.037,6.454033853913379+6.187258097885691E-5i,0.2720281230452069,0.4495947809293714,0.21930573062920652
9.037,6.4544431505998405+1.988680181455711E-5i,0.31361798282904474,0.340193543484302,0.28965524949776594
9.037,6.454511753350357+0.005550742755008762i,0.03720146100111634,3.4336199264380784E-4,0.9607591660021257
9.037,6.454627039835906+1.0550400472572941E-4i,0.06984608288302463,0.01681611480100251,0.9023156391587129
9.037,6.454631623738299+0.001448755820185597i,0.009343190164322984,0.9711556102994394,0.00812074324868847
9.037,6.45472722625009+0.006370996644000799i,0.8269032129631123,0.005238063246192496,0.16632715030452253
9.037,6.454909878429693+1.0306339574434077E-4i,0.004625078666436181,0.00521360911300172,0.9851049803577312
9.037,6.455120962938324+0.0057016299803019374i,0.7739719017094724,0.0049506187674783495,0.21935402849852104
9.037,6.455246102883902+2.543783443420703E-5i,0.28587556293811606,0.019888410053959537,0.6868150490485972
9.037,6.455401775705048+1.9833131958444187E-5i,0.6422677508906982,0.006588345161569058,0.34631425386345305
9.037,6.455570748404079+3.3294246007489536E-5i,0.23482510539621299,0.016590813603227627,0.7409135121360626
9.037,6.455578960884607+0.008433513075580924i,0.03042892790232414,4.4744312788047645E-4,0.9658885323164013
9.037,6.455598969690316+0.005866139854781285i,0.8183067910916337,0.0034796760277325638,0.17652030908310146
9.037,6.455620716721658+0.0018684584343359727i,0.0018853333523080541,0.9959697571079714,2.221930838307068E-4
9.037,6.455674572677297+2.235828954569655E-5i,0.3514743181367638,0.009269458798873106,0.634131691412604
9.037,6.45583581368018+0.0013063814555752723i,0.0018429376587523422,0.9947637279661721,8.794926169790893E-4
9.037,6.455921852248365+6.7172104050379E-6i,0.5030734639663244,0.050585161172308754,0.4429343792192333
9.037,6.455940124476175+5.1591389662616214E-5i,0.10700350891623,0.035806197112832984,0.8474731514648398
9.037,6.456006627733202+0.0018419469885313474i,0.0020403910868616606,0.9925090179825505,9.2271762467163E-4
9.037,6.456038134322737+2.9475274951756215E-7i,0.04112770361561211,0.9415106782299849,0.016297315490004897
9.037,6.456056510161822+0.006308419445596964i,0.06480231834207714,6.805735368304954E-4,0.9321738499451858
9.037,6.456249403495704+0.0014899182487674598i,0.009492554497626515,0.9671183527228777,0.011229068660528453
9.037,6.4563480637099495+1.169244398257381E-6i,0.8588880405020356,0.005110298853395469,0.13365510616308932
9.037,6.456494696277377+2.995610610624485E-5i,0.15612553953357558,0.11104016695452607,0.7135728610802373
