% Model,Tutorial_final_sweep_part3_solved.mph
% Version,COMSOL 6.0.0.405
% Date,"Sep 2 2022, 00:16"
% Table,"Table 22 - Full_qubit_mode, EPR"
% Eigenfrequency (GHz),p (1)
6.461673202153191+5.12403670777834E-6i,1.0676657053799437E-8
6.461766498776197+3.2875341663481538E-6i,7.089916986978988E-7
6.461813710436661+3.457402741391404E-6i,7.05678728212478E-7
6.4619100166976455+0.001316761034521895i,6.06825298833315E-8
6.461914882504449+2.0733575222392095E-6i,1.2977140649615027E-9
6.462055952121722+4.4521443571446715E-6i,1.899774553196044E-8
6.462188841946825+1.6279270597231403E-6i,1.6298227787126945E-6
6.462236526899118+1.8332387576954642E-6i,1.9165228940174976E-7
6.4623855604259015+0.0013579892598933505i,2.1946365402853021E-7
6.462412348388918+1.5400945863328955E-6i,7.543931677271996E-7
6.462438822708544+4.96764332734357E-6i,3.11676275204567E-8
